day,temp_high,temp_low,rain_amt,brooklyn_bridge,manhattan_bridge,williamsburg_bridge,queensboro_bridge,total_cyclists,days_since_start
6,46.0,37.0,0.0,606.0,1446.0,1915.0,1430.0,5397.0,0
7,62.1,41.0,0.0,2021.0,3943.0,4207.0,2862.0,13033.0,1
1,63.0,50.0,0.03,2470.0,4988.0,5178.0,3689.0,16325.0,2
2,51.1,46.0,1.18,723.0,1913.0,2279.0,1666.0,6581.0,3
3,63.0,46.0,0.0,2807.0,5276.0,5711.0,4197.0,17991.0,4
4,48.9,41.0,0.73,461.0,1324.0,1739.0,1372.0,4896.0,5
5,48.0,43.0,0.001,1222.0,2955.0,3399.0,2765.0,10341.0,6
6,55.9,39.9,0.0,1674.0,3163.0,4082.0,2691.0,11610.0,7
7,66.0,45.0,0.0,2375.0,4377.0,4886.0,3261.0,14899.0,8
1,73.9,55.0,0.0,3324.0,6359.0,6881.0,4731.0,21295.0,9
2,80.1,62.1,0.0,3887.0,7247.0,8079.0,5501.0,24714.0,10
3,73.9,57.9,0.02,2565.0,5633.0,6620.0,4537.0,19355.0,11
4,64.0,48.9,0.0,3353.0,6052.0,6775.0,4700.0,20880.0,12
5,64.9,48.9,0.0,2942.0,5054.0,5877.0,4142.0,18015.0,13
6,64.9,52.0,0.0,2253.0,3853.0,4965.0,3291.0,14362.0,14
7,84.9,62.1,0.001,2877.0,4585.0,5259.0,3687.0,16408.0,15
1,73.9,64.0,0.001,3152.0,6352.0,6924.0,4658.0,21086.0,16
2,66.0,50.0,0.0,3415.0,6691.0,7341.0,5012.0,22459.0,17
3,52.0,45.0,0.001,1965.0,4632.0,5234.0,3996.0,15827.0,18
4,64.9,50.0,0.17,1567.0,3365.0,4302.0,3056.0,12290.0,19
5,53.1,48.0,0.29,1426.0,3142.0,3674.0,2672.0,10914.0,20
6,55.9,52.0,0.11,1318.0,2297.0,2963.0,2366.0,8944.0,21
7,64.9,46.9,0.0,2520.0,4681.0,5105.0,3434.0,15740.0,22
1,60.1,50.0,0.001,2544.0,5366.0,5762.0,4183.0,17855.0,23
2,54.0,50.0,0.91,611.0,1402.0,1902.0,1578.0,5493.0,24
3,59.0,54.0,0.34,1247.0,2774.0,3429.0,2369.0,9819.0,25
4,68.0,59.0,0.0,2959.0,5311.0,6026.0,4285.0,18581.0,26
5,82.9,57.9,0.0,3679.0,6774.0,7196.0,5138.0,22787.0,27
6,84.0,64.0,0.06,3315.0,5605.0,6045.0,4078.0,19043.0,28
7,64.0,54.0,0.0,2225.0,4057.0,4513.0,3137.0,13932.0,29
